Recency,Frequency,Monetary,Cluster,CustomerID
325,1,77183.60000000002,3,12346.0
35,15,6419.95,3,12431.0
1,18,4951.41,3,12437.0
1,30,19788.65,3,12471.0
16,18,7324.09,3,12474.0
19,17,13400.240000000002,3,12540.0
1,32,4124.69,3,12569.0
2,15,7281.38,3,12583.0
1,20.000000000000004,13689.670000000002,3,12621.0
41.00000000000001,12,17628.46,3,12678.0
14,22,13787.54,3,12681.0
3,31,12279.82,3,12682.0
3,15,8476.57,3,12683.0
14,15,9706.52,3,12709.0
2,25,5781.73,3,12720.0
23,12,18895.91,3,12731.0
51,7,21279.29,3,12744.0
15,13,7834.650000000001,3,12757.0
2,14,5591.42,3,12839.0
4,25,3991.58,3,12841.0
8,28,17654.54,3,12901.0
8,37,16587.09,3,12921.0
21,15,42055.96,3,12931.0
3,86,11189.91,3,12971.0
2,15,6924.110000000001,3,12989.0
3,13,9785.970000000001,3,13001.0
11,18,5655.91,3,13004.0
15,28,7277.7,3,13018.0
14,17,5836.86,3,13050.0
0,24,4431.44,3,13069.0
2,26,12627.940000000002,3,13078.0
11,11,28337.38,3,13081.0
8,14,8910.82,3,13090.0
0,28,28882.44,3,13098.0
0,24,6424.09,3,13102.0
0,24,12245.960000000003,3,13113.0
3,38,9817.12,3,13199.0
0,35,7436.93,3,13263.0
2,19,4521.49,3,13267.0
0,15,5343.28,3,13269.0
4,26,10845.550000000003,3,13319.0
1,62,28117.04,3,13408.0
11,18,6127.43,3,13418.0
6,14,9646.57,3,13458.0
1,37,5704.97,3,13468.0
16,13,8968.31,3,13488.0
1,25,5870.08,3,13534.0
9,18,6717.34,3,13576.0
0,21,5149.92,3,13599.0
2,21,6309.83,3,13668.0
3,50,65039.62,3,13694.0
1,14,5189.52,3,13756.0
1,37,17220.36,3,13767.0
0,33,25977.16,3,13777.0
0,57,37153.85,3,13798.0
8,25,8109.5199999999995,3,13854.0
3,20.000000000000004,17159.52,3,13881.0
6,18,9024.17,3,13969.0
3,15,7060.13,3,13985.0
6,19,17286.86,3,14031.0
0,23,15610.390000000003,3,14051.0
0,23,8152.71,3,14056.0
23,17,6211.66,3,14057.0
4,19,6140.42,3,14060.0
9,12,10464.850000000002,3,14062.0
1,18,4421.29,3,14085.0
9,13,50491.81,3,14088.0
3,17,65164.79,3,14096.0
1,15,4690.31,3,14135.0
10,25,4748.52,3,14180.0
1,15,4654.08,3,14189.0
4,21,11349.52,3,14194.0
1,17,2004.98,3,14217.0
2,15,3701.44,3,14282.0
7,44,51527.3,3,14298.0
7,16,9227.82,3,14367.0
2,19,2612.96,3,14397.0
2,55,8507.13,3,14527.0
2,18,4397.299999999999,3,14534.0
27.999999999999993,16,3599.73,3,14543.0
6,22,2237.77,3,14560.0
3,18,5006.77,3,14562.0
0,93,12076.150000000001,3,14606.0
15,14,16209.5,3,14607.0
10,25,9175.04,3,14667.0
24,16,28754.11,3,14680.0
7,21,5579.1,3,14688.0
0,17,3251.79,3,14702.0
15,12,9585.91,3,14733.0
3,32,6065.69,3,14735.0
0,17,7975.49,3,14796.0
21,25,7930.54,3,14849.0
10,12,14389.900000000001,3,14866.0
7,20.000000000000004,11138.710000000003,3,14895.0
15,28,6295.37,3,15005.0
9,47,19766.59,3,15039.0
18,17,7634.730000000001,3,15044.0
8,15,5090.42,3,15046.0
3,48,54534.14,3,15061.0
6,32,9743.11,3,15078.0
181,3,39916.5,3,15098.0
24,15,11528.48,3,15125.0
7,17,6580.44,3,15144.0
1,30,18641.010000000002,3,15159.0
1,16,4777.18,3,15187.0
0,41,16225.39,3,15189.0
2,15,7616.53,3,15194.0
6,15,2493.34,3,15271.0
4,18,7943.219999999999,3,15290.0
25,15,4668.3,3,15291.0
4,22,8347.2,3,15358.0
19,18,7354.62,3,15465.0
15,12,10879.760000000002,3,15482.0
2,27,13316.400000000001,3,15498.0
15,12,10384.93,3,15502.0
32.00000000000001,19,14758.220000000001,3,15513.0
6,14,4910.6,3,15547.0
11,16,4794.86,3,15555.0
10,14,6776.56,3,15601.0
9,23,10399.740000000002,3,15615.0
